44;396;472
80;99;428
228;72;408
172;198;8
32;540;304
104;423;388
268;351;248
48;693;56
192;117;424
184;720;308
180;162;400
188;621;108
76;279;164
116;513;264
228;27;420
16;297;400
108;369;468
160;720;240
100;378;168
112;243;132
88;135;208
300;450;356
20;414;240
36;432;204
212;612;64
188;171;412
112;585;396
204;477;352
36;603;88
196;207;384
32;441;228
272;270;332
116;171;72
232;639;480
220;423;392
172;171;44
160;54;200
272;486;148
240;225;336
268;306;444
240;135;132
24;333;312
60;180;300
256;441;124
288;549;184
60;450;52
288;369;236
168;126;64
40;594;244
20;666;92
228;522;224
288;612;232
204;153;428
40;18;48
292;423;144
248;549;92
252;234;0
304;288;308
276;198;352
224;45;196
124;621;40
220;270;124
120;45;332
84;189;412
288;720;332
60;666;400
76;153;380
176;117;432
60;180;456
284;171;368
72;117;452
232;207;296
28;441;296
232;612;392
208;171;4
16;99;364
124;36;436
296;108;216
268;324;264
72;477;148
160;423;368
188;711;184
16;54;120
224;675;248
204;144;388
256;351;408
60;360;60
316;657;472
48;117;264
8;90;252
120;117;16
192;288;328
316;360;440
244;135;320
208;225;236
236;117;332
224;414;376
316;288;256
224;675;368
28;297;436
