11;44;118
20;11;107
57;8;102
43;22;2
8;60;76
26;47;97
67;39;62
12;77;14
48;13;106
46;80;77
45;18;100
47;69;27
19;31;41
29;57;66
57;3;105
4;33;100
27;41;117
40;80;60
25;42;42
28;27;33
22;15;52
75;50;89
5;46;60
9;48;51
53;68;16
47;19;103
28;65;99
51;53;88
9;67;22
49;23;96
8;49;57
68;30;83
29;19;18
58;71;120
55;47;98
43;19;11
40;6;50
68;54;37
60;25;84
67;34;111
60;15;33
6;37;78
15;20;75
64;49;31
72;61;46
15;50;13
72;41;59
42;14;16
10;66;61
5;74;23
57;58;56
72;68;58
51;17;107
10;2;12
73;47;36
62;61;23
63;26;0
76;32;77
69;22;88
56;5;49
31;69;10
55;30;31
30;5;83
21;21;103
72;80;83
15;74;100
19;17;95
44;13;108
15;20;114
71;19;92
18;13;113
58;23;74
7;49;74
58;68;98
52;19;1
4;11;91
31;4;109
74;12;54
67;36;66
18;53;37
40;47;92
47;79;46
4;6;30
56;75;62
51;16;97
64;39;102
15;40;15
79;73;118
12;13;66
2;10;63
30;13;4
48;32;82
79;40;110
61;15;80
52;25;59
59;13;83
56;46;94
79;32;64
56;75;92
7;33;109
